name,param: shape_in1,param: shape_in2,param: dtype_in1_in2_out,param: stride_input1,param: stride_input2,param: stride_output,GFLOPS_first,Data Moved (MB)_first,FLOPS/Byte_first,TB/s_mean,TB/s_median,TB/s_std,TB/s_min,TB/s_max,TFLOPS/s_mean,TFLOPS/s_median,TFLOPS/s_std,TFLOPS/s_min,TFLOPS/s_max,process_name_first,process_label_first,thread_name_first,Compute Spec,kernel_details__summarize_kernel_stats,trunc_kernel_details,Input Dims_first,Input type_first,Input Strides_first,Concrete Inputs_first,Kernel Time (µs)_mean,Kernel Time (µs)_median,Kernel Time (µs)_std,Kernel Time (µs)_min,Kernel Time (µs)_max,Kernel Time (µs)_sum,name_count,UID_first
aten::div,"(1, 96, 4, 720, 1280)","(1, 96, 4, 720, 1280)","('float', 'float', None)","(353894400, 3686400, 921600, 1280, 1)","(3686400, 0, 921600, 1280, 1)",,0.3538944,4050.0,0.08333333333333333,1.7963773058442418,1.798740323485772,0.008958950393404011,1.7637779025557951,1.8103092953386555,0.1496981088203535,0.14989502695714768,0.0007465791994503328,0.14698149187964962,0.15085910794488797,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(326247.539), 'mean_duration_us': np.float64(2364.112601449275), 'median_duration_us': np.float64(2360.948), 'std_dev_duration_us': np.float64(11.819399849608502), 'min_duration_us': np.float64(2345.86), 'max_duration_us': np.float64(2407.748)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(2364.11)}]","[[1, 96, 4, 720, 1280], [1, 96, 4, 720, 1280]]","['float', 'float']","[[353894400, 3686400, 921600, 1280, 1], [3686400, 0, 921600, 1280, 1]]","['', '']",2364.112644361413,2360.9482421875,11.862480468698807,2345.8603515625,2407.748046875,326247.544921875,138,551904
aten::mul,"(1, 96, 4, 720, 1280)","(96, 1, 1, 1)","('float', 'float', None)","(353894400, 3686400, 921600, 1280, 1)","(1, 1, 1, 1)",,0.3538944,2700.0003662109375,0.12499998304579223,1.6586557377625721,1.6603586842663214,0.00704827176225027,1.6275841359239762,1.6701702994596768,0.20733193909912753,0.20754480738322406,0.0008810338507834087,0.20344798939609743,0.20877125911604535,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(235556.13199999998), 'mean_duration_us': np.float64(1706.928492753623), 'median_duration_us': np.float64(1705.1464999999998), 'std_dev_duration_us': np.float64(7.275727513049835), 'min_duration_us': np.float64(1695.13), 'max_duration_us': np.float64(1739.483)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(1706.93)}]","[[1, 96, 4, 720, 1280], [96, 1, 1, 1]]","['float', 'float']","[[353894400, 3686400, 921600, 1280, 1], [1, 1, 1, 1]]","['', '']",1706.9284561820652,1705.14697265625,7.302241992884948,1695.1298828125,1739.4833984375,235556.126953125,138,551906
aten::add_,"(1, 96, 4, 720, 1280)","(1, 96, 1, 1, 1)","('float', 'float', None)","(353894400, 3686400, 921600, 1280, 1)","(96, 1, 1, 1, 1)",,0.3538944,2700.0003662109375,0.12499998304579223,1.6805418866791677,1.6834697895529684,0.009648011423629824,1.634591503706314,1.6921797802614467,0.21006770734263966,0.2104336951522245,0.0012060012643793324,0.20432391025008528,0.21152244384311328,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(232491.92099999997), 'mean_duration_us': np.float64(1684.7240652173912), 'median_duration_us': np.float64(1681.7379999999998), 'std_dev_duration_us': np.float64(9.760315261455096), 'min_duration_us': np.float64(1673.082), 'max_duration_us': np.float64(1732.026)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(1684.72)}]","[[1, 96, 4, 720, 1280], [1, 96, 1, 1, 1], []]","['float', 'float', 'Scalar']","[[353894400, 3686400, 921600, 1280, 1], [96, 1, 1, 1, 1], []]","['', '', '1']",1684.7240927875905,1681.73828125,9.795923811939847,1673.08203125,1732.0263671875,232491.9248046875,138,551898
aten::add,"(1, 96, 4, 720, 1280)",(),"('float', 'double', None)","(353894400, 3686400, 921600, 1280, 1)",(),,0.3538944,2700.0000076293945,0.12499999964678729,1.8430078279578386,1.8431337966491586,0.0022555856658772297,1.8372776890490985,1.8483306532695611,0.23037597784375605,0.23039172393012655,0.0002819482074379506,0.2296597104821875,0.2310413310058413,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(211990.421), 'mean_duration_us': np.float64(1536.1624710144927), 'median_duration_us': np.float64(1536.0555), 'std_dev_duration_us': np.float64(1.8735773740884256), 'min_duration_us': np.float64(1531.736), 'max_duration_us': np.float64(1540.951)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CU...', 'stream': 7, 'mean_duration_us': np.float64(1536.16)}]","[[1, 96, 4, 720, 1280], [], []]","['float', 'double', 'Scalar']","[[353894400, 3686400, 921600, 1280, 1], [], []]","['', '', '1']",1536.162449048913,1536.05517578125,1.8803767560450808,1531.736328125,1540.951171875,211990.41796875,138,551907
aten::mul,"(1, 96, 4, 720, 1280)",(),"('float', 'double', None)","(353894400, 3686400, 921600, 1280, 1)",(),,0.3538944,2700.0000076293945,0.12499999964678729,1.8472613127430793,1.8473477948825252,0.002182168920892957,1.841751534998072,1.8517756569399202,0.23090766344040875,0.23091847370780894,0.00027277111434085503,0.23021894122422895,0.23147195646341934,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(211502.26400000002), 'mean_duration_us': np.float64(1532.6251014492755), 'median_duration_us': np.float64(1532.551), 'std_dev_duration_us': np.float64(1.8042516305188037), 'min_duration_us': np.float64(1528.887), 'max_duration_us': np.float64(1537.208)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::AU...', 'stream': 7, 'mean_duration_us': np.float64(1532.63)}]","[[1, 96, 4, 720, 1280], []]","['float', 'double']","[[353894400, 3686400, 921600, 1280, 1], []]","['', '']",1532.625141530797,1532.55126953125,1.8108246977103721,1528.88671875,1537.2080078125,211502.26953125,138,551905
aten::add_,"(1, 192, 4, 360, 640)","(1, 192, 1, 1, 1)","('float', 'float', None)","(176947200, 921600, 230400, 640, 1)","(192, 1, 1, 1, 1)",,0.1769472,1350.000732421875,0.12499993218319652,1.6401060605255058,1.6390743192186927,0.01543170822627302,1.606718210773436,1.6797463713015335,0.20501314633893783,0.2048841787455556,0.001928962481754977,0.20083966738418635,0.2099681824976621,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})', 'stream': 7, 'count': 138, 'total_duration_us': np.float64(119118.464), 'mean_duration_us': np.float64(863.1772753623189), 'median_duration_us': np.float64(863.645), 'std_dev_duration_us': np.float64(8.058763674885489), 'min_duration_us': np.float64(842.733), 'max_duration_us': np.float64(881.037)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(863.18)}]","[[1, 192, 4, 360, 640], [1, 192, 1, 1, 1], []]","['float', 'float', 'Scalar']","[[176947200, 921600, 230400, 640, 1], [192, 1, 1, 1, 1], []]","['', '', '1']",863.1772673233696,863.64501953125,8.08811597348813,842.7333984375,881.037109375,119118.462890625,138,551563
aten::add,"(1, 96, 4, 720, 1280)","(1, 96, 4, 720, 1280)","('float', 'float', None)","(353894400, 3686400, 921600, 1280, 1)","(353894400, 3686400, 921600, 1280, 1)",,0.3538944,4050.0,0.08333333333333333,1.8853745301581164,1.8855708708787944,0.0017756601719701771,1.8820683307856236,1.889491129548402,0.15711454417984305,0.1571309059065662,0.00014797168099751684,0.15683902756546864,0.1574575941290335,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)', 'stream': 7, 'count': 46, 'total_duration_us': np.float64(103613.30199999998), 'mean_duration_us': np.float64(2252.4630869565212), 'median_duration_us': np.float64(2252.2264999999998), 'std_dev_duration_us': np.float64(2.097795227977577), 'min_duration_us': np.float64(2247.554), 'max_duration_us': np.float64(2256.418)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CU...', 'stream': 7, 'mean_duration_us': np.float64(2252.46)}]","[[1, 96, 4, 720, 1280], [1, 96, 4, 720, 1280], []]","['float', 'float', 'Scalar']","[[353894400, 3686400, 921600, 1280, 1], [353894400, 3686400, 921600, 1280, 1], []]","['', '', '1']",2252.4630604619565,2252.2265625,2.121010073152743,2247.5537109375,2256.41796875,103613.30078125,46,552055
aten::div,"(1, 192, 4, 360, 640)","(1, 192, 4, 360, 640)","('float', 'float', None)","(176947200, 921600, 230400, 640, 1)","(921600, 0, 230400, 640, 1)",,0.1769472,2025.0,0.08333333333333333,2.360757659768934,2.3595110596017865,0.022631788690476003,2.3153012565061464,2.4195645813024957,0.19672980498074455,0.19662592163348222,0.0018859823908730197,0.19294177137551222,0.201630381775208,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})', 'stream': 7, 'count': 115, 'total_duration_us': np.float64(103445.30099999999), 'mean_duration_us': np.float64(899.524356521739), 'median_duration_us': np.float64(899.918), 'std_dev_duration_us': np.float64(8.546787344749518), 'min_duration_us': np.float64(877.582), 'max_duration_us': np.float64(917.102)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(899.52)}]","[[1, 192, 4, 360, 640], [1, 192, 4, 360, 640]]","['float', 'float']","[[176947200, 921600, 230400, 640, 1], [921600, 0, 230400, 640, 1]]","['', '']",899.5243376358695,899.91796875,8.584183884682714,877.58203125,917.1015625,103445.298828125,115,551569
aten::mul,"(1, 192, 4, 360, 640)","(192, 1, 1, 1)","('float', 'float', None)","(176947200, 921600, 230400, 640, 1)","(1, 1, 1, 1)",,0.1769472,1350.000732421875,0.12499993218319652,1.6267540064058899,1.6255524367066676,0.010899955283053224,1.6054938682556736,1.6564115486769755,0.20334414047947946,0.2031939443485633,0.0013624936711815344,0.20068662465249706,0.20705133125208544,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})', 'stream': 7, 'count': 115, 'total_duration_us': np.float64(100075.814), 'mean_duration_us': np.float64(870.2244695652174), 'median_duration_us': np.float64(870.829), 'std_dev_duration_us': np.float64(5.7864654846974934), 'min_duration_us': np.float64(854.605), 'max_duration_us': np.float64(881.709)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(870.22)}]","[[1, 192, 4, 360, 640], [192, 1, 1, 1]]","['float', 'float']","[[176947200, 921600, 230400, 640, 1], [1, 1, 1, 1]]","['', '']",870.2244819972826,870.8291015625,5.811760694044511,854.60546875,881.708984375,100075.8154296875,115,551571
aten::add,"(1, 192, 4, 360, 640)",(),"('float', 'double', None)","(176947200, 921600, 230400, 640, 1)",(),,0.1769472,1350.0000076293945,0.12499999929357458,1.836746391259496,1.8367422463491372,0.0028827035582241665,1.8247720476652056,1.843174229527124,0.22959329760991262,0.22959277949612075,0.0003603379427416106,0.22809650466908535,0.23039677738882539,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)', 'stream': 7, 'count': 115, 'total_duration_us': np.float64(88630.54299999999), 'mean_duration_us': np.float64(770.7003739130434), 'median_duration_us': np.float64(770.7), 'std_dev_duration_us': np.float64(1.205383204165669), 'min_duration_us': np.float64(768.011), 'max_duration_us': np.float64(775.756)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CU...', 'stream': 7, 'mean_duration_us': np.float64(770.7)}]","[[1, 192, 4, 360, 640], [], []]","['float', 'double', 'Scalar']","[[176947200, 921600, 230400, 640, 1], [], []]","['', '', '1']",770.700339673913,770.7001953125,1.2106690346768278,768.0107421875,775.755859375,88630.5390625,115,551572
aten::mul,"(1, 192, 4, 360, 640)",(),"('float', 'double', None)","(176947200, 921600, 230400, 640, 1)",(),,0.1769472,1350.0000076293945,0.12499999929357458,1.8407366137332355,1.8409457395487654,0.003268510584234957,1.8256016848489889,1.8468682337100413,0.2300920754163113,0.23011821614310482,0.00040856382072042394,0.22820020931647217,0.2308585279090805,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)', 'stream': 7, 'count': 115, 'total_duration_us': np.float64(88438.477), 'mean_duration_us': np.float64(769.0302347826087), 'median_duration_us': np.float64(768.94), 'std_dev_duration_us': np.float64(1.3621136920589718), 'min_duration_us': np.float64(766.475), 'max_duration_us': np.float64(775.403)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::AU...', 'stream': 7, 'mean_duration_us': np.float64(769.03)}]","[[1, 192, 4, 360, 640], []]","['float', 'double']","[[176947200, 921600, 230400, 640, 1], []]","['', '']",769.0301970108695,768.9404296875,1.3680895018274943,766.474609375,775.4033203125,88438.47265625,115,551570
aten::add,"(1, 96, 4, 720, 1280)","(1, 96, 4, 720, 1280)","('float', 'float', None)","(353894400, 3686400, 921600, 1280, 1)","(353894400, 921600, 88473600, 1280, 1)",,0.3538944,4050.0,0.08333333333333333,1.76395377908471,1.765983291958635,0.007515291227117387,1.745175459333859,1.7753160375748618,0.14699614825705917,0.14716527432988624,0.0006262742689264525,0.1454312882778216,0.1479430031312385,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})', 'stream': 7, 'count': 23, 'total_duration_us': np.float64(55373.65000000001), 'mean_duration_us': np.float64(2407.55), 'median_duration_us': np.float64(2404.741), 'std_dev_duration_us': np.float64(10.078252225115385), 'min_duration_us': np.float64(2392.1), 'max_duration_us': np.float64(2433.413)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(2407.55)}]","[[1, 96, 4, 720, 1280], [1, 96, 4, 720, 1280], []]","['float', 'float', 'Scalar']","[[353894400, 3686400, 921600, 1280, 1], [353894400, 921600, 88473600, 1280, 1], []]","['', '', '1']",2407.5499745244565,2404.7412109375,10.304868208803029,2392.099609375,2433.4130859375,55373.6494140625,23,551951
aten::add,"(1, 192, 4, 360, 640)","(1, 192, 4, 360, 640)","('float', 'float', None)","(176947200, 921600, 230400, 640, 1)","(176947200, 921600, 230400, 640, 1)",,0.1769472,2025.0,0.08333333333333333,1.8775967383519676,1.8776468331367542,0.0026632832637702533,1.871660908144029,1.8822263660751617,0.15646639486266398,0.15647056942806287,0.00022194027198085695,0.15597174234533576,0.15685219717293014,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)', 'stream': 7, 'count': 46, 'total_duration_us': np.float64(52021.312999999995), 'mean_duration_us': np.float64(1130.8981086956521), 'median_duration_us': np.float64(1130.8654999999999), 'std_dev_duration_us': np.float64(1.5867702667650363), 'min_duration_us': np.float64(1128.114), 'max_duration_us': np.float64(1134.482)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CU...', 'stream': 7, 'mean_duration_us': np.float64(1130.9)}]","[[1, 192, 4, 360, 640], [1, 192, 4, 360, 640], []]","['float', 'float', 'Scalar']","[[176947200, 921600, 230400, 640, 1], [176947200, 921600, 230400, 640, 1], []]","['', '', '1']",1130.898097826087,1130.86572265625,1.6043270307355761,1128.1142578125,1134.482421875,52021.3125,46,551720
aten::div,"(1, 96, 4, 720, 1280)","(1, 96, 4, 720, 1280)","('float', 'float', None)","(353894400, 921600, 88473600, 1280, 1)","(3686400, 0, 921600, 1280, 1)",,0.3538944,4050.0,0.08333333333333333,2.282238420472578,2.2950006212668312,0.058540206818086526,2.176831638399979,2.3999633476768616,0.19018653503938154,0.19125005177223595,0.00487835056817388,0.1814026365333316,0.19999694563973847,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})', 'stream': 7, 'count': 23, 'total_duration_us': np.float64(42824.976), 'mean_duration_us': np.float64(1861.9554782608698), 'median_duration_us': np.float64(1850.428), 'std_dev_duration_us': np.float64(47.060130598933284), 'min_duration_us': np.float64(1769.499), 'max_duration_us': np.float64(1950.878)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(1861.96)}]","[[1, 96, 4, 720, 1280], [1, 96, 4, 720, 1280]]","['float', 'float']","[[353894400, 921600, 88473600, 1280, 1], [3686400, 0, 921600, 1280, 1]]","['', '']",1861.955375339674,1850.427734375,48.117896857570486,1769.4990234375,1950.8779296875,42824.9736328125,23,551854
aten::add_,"(4, 96, 720, 1280)","(1, 96, 1, 1)","('float', 'float', None)","(88473600, 921600, 1280, 1)","(96, 1, 1, 1)",,0.3538944,2700.0003662109375,0.12499998304579223,1.5976006575796466,1.601074994914186,0.033875063398307016,1.5379515777452173,1.6692567253079436,0.19970005511140235,0.20013434721931517,0.004234382350463512,0.19224392114340158,0.20865706236256762,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})', 'stream': 7, 'count': 23, 'total_duration_us': np.float64(40776.564999999995), 'mean_duration_us': np.float64(1772.8941304347825), 'median_duration_us': np.float64(1768.284), 'std_dev_duration_us': np.float64(36.871650577202736), 'min_duration_us': np.float64(1696.058), 'max_duration_us': np.float64(1840.861)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(1772.89)}]","[[4, 96, 720, 1280], [1, 96, 1, 1], []]","['float', 'float', 'Scalar']","[[88473600, 921600, 1280, 1], [96, 1, 1, 1], []]","['', '', '1']",1772.8941066576087,1768.2841796875,37.70030173585699,1696.0576171875,1840.861328125,40776.564453125,23,551845
aten::mul,"(1, 96, 4, 720, 1280)","(96, 1, 1, 1)","('float', 'float', None)","(353894400, 921600, 88473600, 1280, 1)","(1, 1, 1, 1)",,0.3538944,2700.0003662109375,0.12499998304579223,1.5994669259693703,1.6047058539044605,0.029822173001454975,1.5386216999046292,1.651865543287705,0.19993333862847673,0.2005882045315411,0.0037277711195705552,0.19232768640196668,0.20648316490489152,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})', 'stream': 7, 'count': 23, 'total_duration_us': np.float64(40725.10400000001), 'mean_duration_us': np.float64(1770.6566956521742), 'median_duration_us': np.float64(1764.283), 'std_dev_duration_us': np.float64(32.621558067226935), 'min_duration_us': np.float64(1713.914), 'max_duration_us': np.float64(1840.06)}]","[{'name': 'void at::native::elementwise_kernel<128, 2, at::native::gpu_kern...', 'stream': 7, 'mean_duration_us': np.float64(1770.66)}]","[[1, 96, 4, 720, 1280], [96, 1, 1, 1]]","['float', 'float']","[[353894400, 921600, 88473600, 1280, 1], [1, 1, 1, 1]]","['', '']",1770.6567170516305,1764.283203125,33.35466910165733,1713.9140625,1840.0595703125,40725.1044921875,23,551856
aten::add,"(1, 96, 4, 720, 1280)",(),"('float', 'double', None)","(353894400, 921600, 88473600, 1280, 1)",(),,0.3538944,2700.0000076293945,0.12499999964678729,1.8418696586853869,1.8422501043684372,0.0021654348916106646,1.8375443653864318,1.8462107745034546,0.2302337066851016,0.2302812623953485,0.00027067936068647896,0.22969304502425994,0.23077634616082673,sgl_diffusion::scheduler_TP0,CPU,thread 1838609 (sgl_diffusion::),vector_fp32,"[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)', 'stream': 7, 'count': 23, 'total_duration_us': np.float64(35353.562), 'mean_duration_us': np.float64(1537.1113913043478), 'median_duration_us': np.float64(1536.792), 'std_dev_duration_us': np.float64(1.7678206366604812), 'min_duration_us': np.float64(1533.495), 'max_duration_us': np.float64(1540.728)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<4, at::native::CU...', 'stream': 7, 'mean_duration_us': np.float64(1537.11)}]","[[1, 96, 4, 720, 1280], [], []]","['float', 'double', 'Scalar']","[[353894400, 921600, 88473600, 1280, 1], [], []]","['', '', '1']",1537.1114555027175,1536.7919921875,1.8075305006754894,1533.4951171875,1540.7275390625,35353.5634765625,23,551857
